Land.Use,Stream.ID,CommID,Point #,Temp,pH,Cond,DO,Nitrate,Nitrite,Ammonium,DIN,DRP,Turbidity,Col.Total,Col.Fecal,QBR.And,HFI
Forest,El_Carmen,,6,13.326,7.482,11.739,7.890,0.925,0.008,0.198,1.007,0.151,1.792,600,0,88.5,73.5
Forest,San_Simón,,5,13.082,7.357,11.531,7.968,1.391,0.004,0.313,1.739,0.101,5.128,100,0,92.5,82.0
Forest,Volcán,,7,13.186,7.985,26.467,7.918,1.131,0.007,0.209,0.970,0.157,9.941,500,100,97.5,73.0
ForestPasture,El_Salado,Jipiro Alto,4,15.493,7.957,35.520,7.528,0.810,0.025,0.101,0.723,0.182,5.570,12000,500,37.5,75.0
ForestPasture,Paccha,Amable Maria,3,16.058,7.957,89.714,7.592,1.116,0.028,0.144,1.263,0.109,20.229,12000,400,27.5,62.5
ForestPasture,Quilloyacu,Quilloyacu,9,14.444,7.995,52.991,8.021,0.823,0.015,0.113,0.974,0.325,5.512,4500,400,42.5,73.5
Pasture,Las_Violetas,Punzara Granda,8,16.361,8.306,104.977,7.785,3.023,0.055,0.639,3.645,0.296,120.943,28000,8000,10.0,50.5
Pasture,Shucos,Shucos,2,15.973,8.123,82.800,7.743,1.233,0.010,0.309,1.483,0.143,71.329,5000,100,10.0,58.0
Pasture,Tenería,Teneria,1,16.001,8.120,167.607,7.508,2.167,0.007,0.363,2.456,0.097,154.986,32000,600,10.0,45.0
Urban,Alumbre,,11,15.784,7.758,272.542,4.943,7.444,0.075,6.126,12.284,1.631,56.287,3800000,320000,7.5,26.5
Urban,Pan_de_Azúcar,Estaban Godoy,12,16.004,7.752,279.000,4.377,5.060,0.109,5.400,9.489,2.260,142.613,3600000,250000,7.5,24.5
Urban,San_Cayetano,San Cayetano,10,15.429,7.513,156.567,4.310,3.525,0.038,5.671,8.208,1.183,163.200,2000000,1400000,2.5,23.5
